_id,v,vw,o,c,h,l,t,n,date
61043dada4c173d7714a0c49,142532,8.8497,8.8076,8.73,8.97,8.68,1609772400000,1000,2021-01-04 10:00:00
61043dada4c173d7714a0c4a,88694,8.8261,8.76,8.81,8.89,8.75,1609776000000,713,2021-01-04 11:00:00
61043dada4c173d7714a0c4b,48396,8.7376,8.8,8.79,8.8,8.69,1609779600000,527,2021-01-04 12:00:00
61043dada4c173d7714a0c4c,79963,8.7567,8.77,8.77,8.79,8.7,1609783200000,614,2021-01-04 13:00:00
61043dada4c173d7714a0c4d,59225,8.7476,8.7701,8.79,8.79,8.71,1609786800000,463,2021-01-04 14:00:00
61043dada4c173d7714a0c4e,144479,8.7634,8.79,8.77,8.79,8.74,1609790400000,1504,2021-01-04 15:00:00
61043dada4c173d7714a0c4f,78693,8.6986,8.78,8.65,8.78,8.6,1609858800000,410,2021-01-05 10:00:00
61043dada4c173d7714a0c50,88325,8.6596,8.67,8.66,8.69,8.65,1609862400000,617,2021-01-05 11:00:00
61043dada4c173d7714a0c51,73912,8.6462,8.665,8.65,8.7,8.6043,1609866000000,495,2021-01-05 12:00:00
61043dada4c173d7714a0c52,88099,8.7147,8.655,8.8,8.8,8.64,1609869600000,599,2021-01-05 13:00:00
61043dada4c173d7714a0c53,114998,8.8846,8.81,8.87,8.93,8.81,1609873200000,895,2021-01-05 14:00:00
61043dada4c173d7714a0c54,233805,8.9386,8.87,8.92,8.99,8.87,1609876800000,1753,2021-01-05 15:00:00
61043dada4c173d7714a0c55,530619,9.1823,8.84,9.33,9.36,8.84,1609945200000,2675,2021-01-06 10:00:00
61043dada4c173d7714a0c56,152927,9.378,9.31,9.41,9.45,9.3,1609948800000,1019,2021-01-06 11:00:00
61043dada4c173d7714a0c57,116004,9.497,9.41,9.615,9.62,9.4,1609952400000,996,2021-01-06 12:00:00
61043dada4c173d7714a0c58,143592,9.6069,9.62,9.5717,9.7,9.51,1609956000000,1129,2021-01-06 13:00:00
61043dada4c173d7714a0c59,147945,9.4672,9.575,9.49,9.6,9.37,1609959600000,1355,2021-01-06 14:00:00
61043dada4c173d7714a0c5a,269383,9.5096,9.5,9.58,9.59,9.43,1609963200000,2348,2021-01-06 15:00:00
61043dada4c173d7714a0c5b,111691,9.6237,9.69,9.785,9.785,9.54,1610031600000,734,2021-01-07 10:00:00
61043dada4c173d7714a0c5c,55316,9.7332,9.78,9.7,9.78,9.69,1610035200000,509,2021-01-07 11:00:00
61043dada4c173d7714a0c5d,49467,9.6491,9.7,9.65,9.7,9.5637,1610038800000,435,2021-01-07 12:00:00
61043dada4c173d7714a0c5e,57944,9.6673,9.65,9.705,9.72,9.62,1610042400000,471,2021-01-07 13:00:00
61043dada4c173d7714a0c5f,72799,9.6266,9.705,9.59,9.71,9.55,1610046000000,546,2021-01-07 14:00:00
61043dada4c173d7714a0c60,127014,9.6383,9.59,9.63,9.675,9.57,1610049600000,1176,2021-01-07 15:00:00
61043dada4c173d7714a0c61,216776,10.0274,10.1,10.14,10.14,9.93,1610118000000,1392,2021-01-08 10:00:00
61043dada4c173d7714a0c62,117454,10.1794,10.14,10.26,10.26,10.09,1610121600000,1015,2021-01-08 11:00:00
61043dada4c173d7714a0c63,121999,10.2789,10.27,10.3221,10.35,10.21,1610125200000,741,2021-01-08 12:00:00
