,Ticker
0,AAPL
1,MSFT
2,AMZN
3,TSLA
4,GOOG
5,GOOGL
6,FB
7,NVDA
8,PYPL
9,ADBE
10,NFLX
11,CMCSA
12,CSCO
13,INTC
14,PEP
15,AVGO
16,COST
17,TXN
18,TMUS
19,INTU
20,HON
21,QCOM
22,MRNA
23,CHTR
24,SBUX
25,AMD
26,AMGN
27,ISRG
28,AMAT
29,BKNG
30,ADI
31,GILD
32,ADP
33,MELI
34,LRCX
35,MDLZ
36,MU
37,FISV
38,CSX
39,ZM
40,ADSK
41,ILMN
42,ATVI
43,REGN
44,ASML
45,JD
46,TEAM
47,DXCM
48,IDXX
49,ALGN
50,MAR
51,NXPI
52,KLAC
53,LULU
54,MRVL
55,CRWD
56,DOCU
57,WDAY
58,MNST
59,KDP
60,EXC
61,SNPS
62,VRTX
63,EBAY
64,KHC
65,MTCH
66,MCHP
67,PAYX
68,BIIB
69,CDNS
70,ORLY
71,AEP
72,EA
73,WBA
74,ROST
75,CTAS
76,CTSH
77,BIDU
78,XLNX
79,OKTA
80,PDD
81,CPRT
82,XEL
83,SGEN
84,VRSK
85,FAST
86,ANSS
87,PCAR
88,SWKS
89,NTES
90,CDW
91,SIRI
92,SPLK
93,PTON
94,VRSN
95,DLTR
96,CERN
97,TCOM
98,INCY
99,CHKP
100,FOXA
102,FOX
