id,time,sym,timeframe,side,quantity,price,commission,pct_return (excl commission), pct_returns ( incl commission)
45,2021-08-13 12:03:53,AMZN,2 mins,BUY,2.0,3287.0,1.0,,
68,2021-08-13 12:05:26,ATVI,2 mins,BUY,98.0,84.09,1.0,,
71,2021-08-13 12:05:28,MSFT,2 mins,BUY,22.0,291.14,1.0,,
152,2021-08-13 12:10:55,AMZN,2 mins,SELL,2.0,3286.01,1.033755,-0.00030118649224208927,-0.0006104570342205795
213,2021-08-13 12:15:28,ATVI,2 mins,SELL,98.0,84.08,1.053685,-0.00011892020454284946,-0.00036808435515456317
234,2021-08-13 12:16:40,MSFT,2 mins,SELL,22.0,291.35,1.035307,0.0007213024661676393,0.00040347498001902515
257,2021-08-13 12:18:16,AMD,2 mins,BUY,86.0,110.37,1.0,,
298,2021-08-13 12:21:12,AMD,2 mins,SELL,86.0,110.03,1.058493,-0.003080547250158605,-0.00329707010140301
321,2021-08-13 12:22:49,GOOG,2 mins,BUY,3.0,2764.92,1.0,,
324,2021-08-13 12:22:53,AMZN,2 mins,BUY,2.0,3288.23,1.0,,
365,2021-08-13 12:25:36,GOOG,2 mins,SELL,3.0,2763.49,1.042638,-0.000517193987529585,-0.0007633583903103869
408,2021-08-13 12:28:32,ATVI,2 mins,BUY,98.0,84.0,1.0,,
411,2021-08-13 12:28:35,GOOG,2 mins,BUY,2.0,2764.76,1.0,,
414,2021-08-13 12:28:37,MSFT,12 mins,BUY,32.0,291.4,1.0,,
437,2021-08-13 12:30:17,AMZN,12 mins,BUY,2.0,3290.87,1.0,,
478,2021-08-13 12:33:09,GOOG,2 mins,SELL,2.0,2763.32,1.028424,-0.000520840868646899,-0.0008875158212970913
499,2021-08-13 12:34:21,AMZN,2 mins,SELL,2.0,3289.0,1.033786,0.00023416853443958274,-7.507244437821026e-05
522,2021-08-13 12:35:57,AMD,2 mins,BUY,72.0,110.07,1.0,,
543,2021-08-13 12:37:36,ATVI,2 mins,SELL,98.0,83.93,1.05361,-0.0008333333333332416,-0.001082668529090225
564,2021-08-13 12:38:53,MSFT,12 mins,SELL,32.0,291.05,1.051307,-0.0012010981468770776,-0.001420929786184466
627,2021-08-13 12:43:17,AMD,4 hours,BUY,86.0,110.59,1.0,,
650,2021-08-13 12:44:56,ATVI,2 mins,BUY,95.0,84.2,1.0,,
673,2021-08-13 12:46:16,AMZN,2 mins,BUY,1.0,3290.25,1.0,,
