id,time,sym,timeframe,side,quantity,price,commission,pct_return (excl commission), pct_returns ( incl commission)
6467,2021-08-23 11:40:42,GOOG,12 mins,SELL,2.0,2838.9,1.029195,0.012269610517420482,0.01190571178506894
6468,2021-08-23 11:40:42,AMD,1 hour,SELL,88.0,106.79,1.058399,-0.005309239940387456,-0.005526528467468372
6469,2021-08-23 11:40:42,GOOG,12 mins>4 hours,SELL,2.0,2838.9,1.029195,0.012269610517420482,0.01190571178506894
6552,2021-08-23 11:46:23,MSFT,2 mins,BUY,31.0,304.39,1.0,,
6593,2021-08-23 11:49:18,MSFT,2 mins,SELL,31.0,304.21,1.051785,-0.000591346627681566,-0.0008087010932394945
6636,2021-08-23 11:52:06,GOOG,2 mins,BUY,3.0,2842.67,1.0,,
6639,2021-08-23 11:52:06,GOOG,2 mins>4 hours,BUY,3.0,2842.67,1.0,,
6662,2021-08-23 11:53:42,AMD,2 mins,BUY,73.0,107.09,1.0,,
6665,2021-08-23 11:53:42,AMD,2 mins>4 hours,BUY,73.0,107.09,1.0,,
6668,2021-08-23 11:53:42,AMD,2 mins>12 mins>4 hours,BUY,88.0,107.09,1.0,,
6689,2021-08-23 11:55:19,GOOG,2 mins,SELL,3.0,2839.11,1.043795,-0.001252343747251694,-0.001491825545989478
6692,2021-08-23 11:55:19,AMD,1 hour,BUY,77.0,107.09,1.0,,
6760,2021-08-23 12:32:57,AMZN,2 mins,BUY,2.0,3273.95,1.0,,
6841,2021-08-23 12:38:41,AMZN,2 mins,SELL,2.0,3272.0,1.033612,-0.0005956108065180432,-0.000906047122417486
6924,2021-08-23 12:44:39,MSFT,2 mins,BUY,31.0,303.8,1.0,,
6967,2021-08-23 12:47:33,AMD,2 mins,BUY,71.0,107.3,1.0,,
7030,2021-08-23 12:51:58,GOOG,2 mins,BUY,2.0,2839.05,1.0,,
7031,2021-08-23 12:51:58,MSFT,2 mins,SELL,31.0,303.84,1.051726,0.00013166556945343189,-8.618146685368533e-05
7054,2021-08-23 12:53:16,AMZN,2 mins,BUY,2.0,3274.95,1.0,,
7097,2021-08-23 12:56:04,AMD,1 hour,BUY,88.0,107.5,1.0,,
7100,2021-08-23 12:56:04,AMD,2 mins>1 hour,BUY,88.0,107.5,1.0,,
7121,2021-08-23 12:57:42,AMZN,2 mins,SELL,2.0,3273.98,1.033633,-0.00029618772805684035,-0.0006065781800973502
7144,2021-08-23 12:59:18,MSFT,2 mins,BUY,22.0,304.05,1.0,,
