,_id,ticker,period,calendarDate,reportPeriod,updated,dateKey,accumulatedOtherComprehensiveIncome,assets,assetsAverage,assetsCurrent,assetsNonCurrent,assetTurnover,bookValuePerShare,capitalExpenditure,cashAndEquivalents,cashAndEquivalentsUSD,costOfRevenue,consolidatedIncome,currentRatio,debtToEquityRatio,debt,debtCurrent,debtNonCurrent,debtUSD,deferredRevenue,depreciationAmortizationAndAccretion,deposits,dividendYield,dividendsPerBasicCommonShare,earningBeforeInterestTaxes,earningsBeforeInterestTaxesDepreciationAmortization,EBITDAMargin,earningsBeforeInterestTaxesDepreciationAmortizationUSD,earningBeforeInterestTaxesUSD,earningsBeforeTax,earningsPerBasicShare,earningsPerDilutedShare,earningsPerBasicShareUSD,shareholdersEquity,averageEquity,shareholdersEquityUSD,enterpriseValue,enterpriseValueOverEBIT,enterpriseValueOverEBITDA,freeCashFlow,freeCashFlowPerShare,foreignCurrencyUSDExchangeRate,grossProfit,grossMargin,goodwillAndIntangibleAssets,interestExpense,investedCapital,investedCapitalAverage,inventory,investments,investmentsCurrent,investmentsNonCurrent,totalLiabilities,currentLiabilities,liabilitiesNonCurrent,marketCapitalization,netCashFlow,netCashFlowBusinessAcquisitionsDisposals,issuanceEquityShares,issuanceDebtSecurities,paymentDividendsOtherCashDistributions,netCashFlowFromFinancing,netCashFlowFromInvesting,netCashFlowInvestmentAcquisitionsDisposals,netCashFlowFromOperations,effectOfExchangeRateChangesOnCash,netIncome,netIncomeCommonStock,netIncomeCommonStockUSD,netLossIncomeFromDiscontinuedOperations,netIncomeToNonControllingInterests,profitMargin,operatingExpenses,operatingIncome,tradeAndNonTradePayables,payoutRatio,priceToBookValue,priceEarnings,priceToEarningsRatio,propertyPlantEquipmentNet,preferredDividendsIncomeStatementImpact,sharePriceAdjustedClose,priceSales,priceToSalesRatio,tradeAndNonTradeReceivables,accumulatedRetainedEarningsDeficit,revenues,revenuesUSD,researchAndDevelopmentExpense,returnOnAverageAssets,returnOnAverageEquity,returnOnInvestedCapital,returnOnSales,shareBasedCompensation,sellingGeneralAndAdministrativeExpense,shareFactor,shares,weightedAverageShares,weightedAverageSharesDiluted,salesPerShare,tangibleAssetValue,taxAssets,incomeTaxExpense,taxLiabilities,tangibleAssetsBookValuePerShare,workingCapital
0,61498f68b26daf86a710046b,MSFT,T,2020-03-31,2020-03-31,2020-04-29,2020-04-29,2676000000.0,285449000000.0,283438500000.0,170505000000.0,114944000000.0,0.489,15.062,-14748000000.0,137626000000.0,137626000000.0,44151000000.0,46266000000.0,2.904,1.493,73858000000.0,3748000000.0,70110000000.0,73858000000.0,30397000000.0,12216000000.0,0.0,0.011,1.94,52210000000.0,64426000000.0,0.465,64426000000.0,52210000000.0,52210000000.0,6.06,5.99,6.06,114501000000.0,108250250000.0,114501000000.0,1281761803030.0,25.0,19.895,43362000000.0,5.704,1,94548000000.0,0.682,48919000000.0,0.0,114055000000.0,113250750000.0,1644000000.0,2660000000.0,0.0,2660000000.0,170948000000.0,58707000000.0,112241000000.0,1345529803030.0,498000000.0,-1152000000.0,-20499000000.0,-6518000000.0,-14793000000.0,-42455000000.0,-15018000000.0,882000000.0,58110000000.0,-139000000.0,46266000000.0,46266000000.0,46266000000.0,0.0,0.0,0.334,42591000000.0,51957000000.0,9246000000.0,0.32,11.751,29.082,29.279,49669000000.0,0.0,177.43,9.701,9.725,22699000000.0,32012000000.0,138699000000.0,138699000000.0,18568000000.0,0.163,0.427,0.461,0.376,5130000000.0,24023000000.0,1,7583440247.0,7602000000,7675000000.0,18.245,236530000000.0,0.0,5944000000.0,32369000000.0,31.114,111798000000.0
1,61498f68b26daf86a710046c,MSFT,QA,2020-03-31,2020-03-31,2020-04-29,2020-03-31,2676000000.0,285449000000.0,,170505000000.0,114944000000.0,,15.062,-3767000000.0,137626000000.0,137626000000.0,10975000000.0,10752000000.0,2.904,1.493,73858000000.0,3748000000.0,70110000000.0,73858000000.0,30397000000.0,3118000000.0,0.0,0.012,0.51,12843000000.0,15961000000.0,0.456,15961000000.0,12843000000.0,12843000000.0,1.41,1.4,1.41,114501000000.0,,114501000000.0,1142076673950.0,22.0,17.727,13737000000.0,1.807,1,24046000000.0,0.687,48919000000.0,0.0,114055000000.0,,1644000000.0,2660000000.0,0.0,2660000000.0,170948000000.0,58707000000.0,112241000000.0,1199549673950.0,2846000000.0,-329000000.0,-6717000000.0,-3000000000.0,-3876000000.0,-14645000000.0,51000000.0,4147000000.0,17504000000.0,-64000000.0,10752000000.0,10752000000.0,10752000000.0,0.0,0.0,0.307,11071000000.0,12975000000.0,9246000000.0,0.362,10.476,25.927,26.025,49669000000.0,0.0,157.71,8.649,8.644,22699000000.0,32012000000.0,35021000000.0,35021000000.0,4887000000.0,,,,,1338000000.0,6184000000.0,1,7606047010.0,7602000000,7675000000.0,4.607,236530000000.0,0.0,2091000000.0,32369000000.0,31.114,111798000000.0
2,61498f68b26daf86a710046d,MSFT,TA,2020-03-31,2020-03-31,2020-04-29,2020-03-31,2676000000.0,285449000000.0,283438500000.0,170505000000.0,114944000000.0,0.489,15.062,-14748000000.0,137626000000.0,137626000000.0,44151000000.0,46266000000.0,2.904,1.493,73858000000.0,3748000000.0,70110000000.0,73858000000.0,30397000000.0,12216000000.0,0.0,0.012,1.94,52210000000.0,64426000000.0,0.465,64426000000.0,52210000000.0,52210000000.0,6.06,5.99,6.06,114501000000.0,108250250000.0,114501000000.0,1142076673950.0,22.0,17.727,43362000000.0,5.704,1,94548000000.0,0.682,48919000000.0,0.0,114055000000.0,113250750000.0,1644000000.0,2660000000.0,0.0,2660000000.0,170948000000.0,58707000000.0,112241000000.0,1199549673950.0,498000000.0,-1152000000.0,-20499000000.0,-6518000000.0,-14793000000.0,-42455000000.0,-15018000000.0,882000000.0,58110000000.0,-139000000.0,46266000000.0,46266000000.0,46266000000.0,0.0,0.0,0.334,42591000000.0,51957000000.0,9246000000.0,0.32,10.476,25.927,26.025,49669000000.0,0.0,157.71,8.649,8.644,22699000000.0,32012000000.0,138699000000.0,138699000000.0,18568000000.0,0.163,0.427,0.461,0.376,5130000000.0,24023000000.0,1,7606047010.0,7602000000,7675000000.0,18.245,236530000000.0,0.0,5944000000.0,32369000000.0,31.114,111798000000.0
3,61498f68b26daf86a710046e,MSFT,Q,2020-03-31,2020-03-31,2020-04-29,2020-04-29,2676000000.0,285449000000.0,,170505000000.0,114944000000.0,,15.062,-3767000000.0,137626000000.0,137626000000.0,10975000000.0,10752000000.0,2.904,1.493,73858000000.0,3748000000.0,70110000000.0,73858000000.0,30397000000.0,3118000000.0,0.0,0.011,0.51,12843000000.0,15961000000.0,0.456,15961000000.0,12843000000.0,12843000000.0,1.41,1.4,1.41,114501000000.0,,114501000000.0,1281761803030.0,25.0,19.895,13737000000.0,1.807,1,24046000000.0,0.687,48919000000.0,0.0,114055000000.0,,1644000000.0,2660000000.0,0.0,2660000000.0,170948000000.0,58707000000.0,112241000000.0,1345529803030.0,2846000000.0,-329000000.0,-6717000000.0,-3000000000.0,-3876000000.0,-14645000000.0,51000000.0,4147000000.0,17504000000.0,-64000000.0,10752000000.0,10752000000.0,10752000000.0,0.0,0.0,0.307,11071000000.0,12975000000.0,9246000000.0,0.362,11.751,29.082,29.279,49669000000.0,0.0,177.43,9.701,9.725,22699000000.0,32012000000.0,35021000000.0,35021000000.0,4887000000.0,,,,,1338000000.0,6184000000.0,1,7583440247.0,7602000000,7675000000.0,4.607,236530000000.0,0.0,2091000000.0,32369000000.0,31.114,111798000000.0
4,61498f68b26daf86a710046f,MSFT,YA,2019-12-31,2019-06-30,2020-04-29,2019-06-30,-340000000.0,286556000000.0,266578750000.0,175552000000.0,111004000000.0,0.472,13.336,-13925000000.0,133819000000.0,133819000000.0,42910000000.0,39240000000.0,2.529,1.8,78366000000.0,5516000000.0,72850000000.0,78366000000.0,37206000000.0,11682000000.0,0.0,0.013,1.8,43688000000.0,55370000000.0,0.44,55370000000.0,43688000000.0,43688000000.0,5.11,5.06,5.11,102330000000.0,93822250000.0,102330000000.0,973965088560.0,22.0,17.59,38260000000.0,4.986,1,82933000000.0,0.659,49776000000.0,0.0,111907000000.0,108099750000.0,2063000000.0,2649000000.0,0.0,2649000000.0,184226000000.0,69420000000.0,114806000000.0,1026511088560.0,-590000000.0,-2388000000.0,-18401000000.0,-4000000000.0,-13811000000.0,-36887000000.0,-15773000000.0,540000000.0,52185000000.0,-115000000.0,39240000000.0,39240000000.0,39240000000.0,0.0,0.0,0.312,39974000000.0,42959000000.0,9382000000.0,0.352,10.031,26.16,26.215,43856000000.0,0.0,133.96,8.157,8.168,29524000000.0,24150000000.0,125843000000.0,125843000000.0,16876000000.0,0.147,0.418,0.404,0.347,4652000000.0,23098000000.0,1,7662817920.0,7673000000,7753000000.0,16.401,236780000000.0,0.0,4448000000.0,35510000000.0,30.859,106132000000.0
5,61498f68b26daf86a7100470,MSFT,Q,2019-12-31,2019-12-31,2020-04-29,2020-01-29,-255000000.0,282794000000.0,,167074000000.0,115720000000.0,,14.448,-3545000000.0,134253000000.0,134253000000.0,12358000000.0,11649000000.0,2.801,1.568,76780000000.0,6247000000.0,70533000000.0,76780000000.0,31221000000.0,3203000000.0,0.0,0.011,0.51,14085000000.0,17288000000.0,0.468,17288000000.0,14085000000.0,14085000000.0,1.53,1.51,1.53,110109000000.0,,110109000000.0,1220647139560.0,24.0,19.727,7135000000.0,0.936,1,24548000000.0,0.665,49374000000.0,0.0,116307000000.0,,1823000000.0,2755000000.0,0.0,2755000000.0,172685000000.0,59640000000.0,113045000000.0,1278120139560.0,-4253000000.0,-80000000.0,-4972000000.0,-18000000.0,-3886000000.0,-8915000000.0,-6036000000.0,-2411000000.0,10680000000.0,18000000.0,11649000000.0,11649000000.0,11649000000.0,0.0,0.0,0.316,10657000000.0,13891000000.0,8811000000.0,0.333,11.608,28.836,28.972,48961000000.0,0.0,168.04,9.521,9.539,23525000000.0,30739000000.0,36906000000.0,36906000000.0,4603000000.0,,,,,1340000000.0,6054000000.0,1,7606047010.0,7621000000,7691000000.0,4.843,233420000000.0,0.0,2436000000.0,31663000000.0,30.629,107434000000.0
6,61498f68b26daf86a7100471,MSFT,QA,2019-12-31,2019-12-31,2020-04-29,2019-12-31,-255000000.0,282794000000.0,,167074000000.0,115720000000.0,,14.448,-3545000000.0,134253000000.0,134253000000.0,12358000000.0,11649000000.0,2.801,1.568,76780000000.0,6247000000.0,70533000000.0,76780000000.0,31221000000.0,3203000000.0,0.0,0.012,0.51,14085000000.0,17288000000.0,0.468,17288000000.0,14085000000.0,14085000000.0,1.53,1.51,1.53,110109000000.0,,110109000000.0,1142580645960.0,23.0,18.465,7135000000.0,0.936,1,24548000000.0,0.665,49374000000.0,0.0,116307000000.0,,1823000000.0,2755000000.0,0.0,2755000000.0,172685000000.0,59640000000.0,113045000000.0,1203062645960.0,-4253000000.0,-80000000.0,-4972000000.0,-18000000.0,-3886000000.0,-8915000000.0,-6036000000.0,-2411000000.0,10680000000.0,18000000.0,11649000000.0,11649000000.0,11649000000.0,0.0,0.0,0.316,10657000000.0,13891000000.0,8811000000.0,0.333,10.926,27.143,27.19,48961000000.0,0.0,157.7,8.961,8.952,23525000000.0,30739000000.0,36906000000.0,36906000000.0,4603000000.0,,,,,1340000000.0,6054000000.0,1,7628805618.0,7621000000,7691000000.0,4.843,233420000000.0,0.0,2436000000.0,31663000000.0,30.629,107434000000.0
7,61498f68b26daf86a7100472,MSFT,Y,2019-12-31,2019-06-30,2020-04-29,2019-08-01,-340000000.0,286556000000.0,266578750000.0,175552000000.0,111004000000.0,0.472,13.336,-13925000000.0,133819000000.0,133819000000.0,42910000000.0,39240000000.0,2.529,1.8,78366000000.0,5516000000.0,72850000000.0,78366000000.0,37206000000.0,11682000000.0,0.0,0.013,1.8,43688000000.0,55370000000.0,0.44,55370000000.0,43688000000.0,43688000000.0,5.11,5.06,5.11,102330000000.0,93822250000.0,102330000000.0,998691621760.0,23.0,18.037,38260000000.0,4.986,1,82933000000.0,0.659,49776000000.0,0.0,111907000000.0,108099750000.0,2063000000.0,2649000000.0,0.0,2649000000.0,184226000000.0,69420000000.0,114806000000.0,1054144621760.0,-590000000.0,-2388000000.0,-18401000000.0,-4000000000.0,-13811000000.0,-36887000000.0,-15773000000.0,540000000.0,52185000000.0,-115000000.0,39240000000.0,39240000000.0,39240000000.0,0.0,0.0,0.312,39974000000.0,42959000000.0,9382000000.0,0.352,10.301,26.864,27.018,43856000000.0,0.0,138.06,8.377,8.418,29524000000.0,24150000000.0,125843000000.0,125843000000.0,16876000000.0,0.147,0.418,0.404,0.347,4652000000.0,23098000000.0,1,7635409400.0,7673000000,7753000000.0,16.401,236780000000.0,0.0,4448000000.0,35510000000.0,30.859,106132000000.0
8,61498f68b26daf86a7100473,MSFT,T,2019-12-31,2019-12-31,2020-04-29,2020-01-29,-255000000.0,282794000000.0,277896500000.0,167074000000.0,115720000000.0,0.483,14.448,-13546000000.0,134253000000.0,134253000000.0,43346000000.0,44323000000.0,2.801,1.568,76780000000.0,6247000000.0,70533000000.0,76780000000.0,31221000000.0,12024000000.0,0.0,0.011,1.89,49853000000.0,61877000000.0,0.461,61877000000.0,49853000000.0,49853000000.0,5.8,5.73,5.8,110109000000.0,103341000000.0,110109000000.0,1220647139560.0,24.0,19.727,40580000000.0,5.325,1,90903000000.0,0.677,49374000000.0,0.0,116307000000.0,111464500000.0,1823000000.0,2755000000.0,0.0,2755000000.0,172685000000.0,59640000000.0,113045000000.0,1278120139560.0,2226000000.0,-1092000000.0,-18261000000.0,-3518000000.0,-14443000000.0,-35411000000.0,-16432000000.0,-1794000000.0,54126000000.0,-57000000.0,44323000000.0,44323000000.0,44323000000.0,0.0,0.0,0.33,41580000000.0,49323000000.0,8811000000.0,0.326,11.608,28.836,28.972,48961000000.0,0.0,168.04,9.521,9.539,23525000000.0,30739000000.0,134249000000.0,134249000000.0,17997000000.0,0.159,0.429,0.447,0.371,4964000000.0,23583000000.0,1,7606047010.0,7621000000,7691000000.0,17.616,233420000000.0,0.0,5530000000.0,31663000000.0,30.629,107434000000.0
9,61498f68b26daf86a7100474,MSFT,TA,2019-12-31,2019-12-31,2020-04-29,2019-12-31,-255000000.0,282794000000.0,277896500000.0,167074000000.0,115720000000.0,0.483,14.448,-13546000000.0,134253000000.0,134253000000.0,43346000000.0,44323000000.0,2.801,1.568,76780000000.0,6247000000.0,70533000000.0,76780000000.0,31221000000.0,12024000000.0,0.0,0.012,1.89,49853000000.0,61877000000.0,0.461,61877000000.0,49853000000.0,49853000000.0,5.8,5.73,5.8,110109000000.0,103341000000.0,110109000000.0,1142580645960.0,23.0,18.465,40580000000.0,5.325,1,90903000000.0,0.677,49374000000.0,0.0,116307000000.0,111464500000.0,1823000000.0,2755000000.0,0.0,2755000000.0,172685000000.0,59640000000.0,113045000000.0,1203062645960.0,2226000000.0,-1092000000.0,-18261000000.0,-3518000000.0,-14443000000.0,-35411000000.0,-16432000000.0,-1794000000.0,54126000000.0,-57000000.0,44323000000.0,44323000000.0,44323000000.0,0.0,0.0,0.33,41580000000.0,49323000000.0,8811000000.0,0.326,10.926,27.143,27.19,48961000000.0,0.0,157.7,8.961,8.952,23525000000.0,30739000000.0,134249000000.0,134249000000.0,17997000000.0,0.159,0.429,0.447,0.371,4964000000.0,23583000000.0,1,7628805618.0,7621000000,7691000000.0,17.616,233420000000.0,0.0,5530000000.0,31663000000.0,30.629,107434000000.0
10,61498f68b26daf86a7100475,MSFT,QA,2019-09-30,2019-09-30,2020-04-29,2019-09-30,-61000000.0,278955000000.0,,165896000000.0,113059000000.0,,13.893,-3385000000.0,136636000000.0,136636000000.0,10406000000.0,10678000000.0,2.854,1.63,76154000000.0,3017000000.0,73137000000.0,76154000000.0,34026000000.0,2971000000.0,0.0,0.013,0.46,12686000000.0,15657000000.0,0.474,15657000000.0,12686000000.0,12686000000.0,1.4,1.38,1.4,106061000000.0,,106061000000.0,1006097968880.0,22.0,17.356,10433000000.0,1.367,1,22649000000.0,0.685,49621000000.0,0.0,110734000000.0,,2622000000.0,2684000000.0,0.0,2684000000.0,172894000000.0,58118000000.0,114776000000.0,1061550968880.0,1761000000.0,-462000000.0,-4485000000.0,-2500000000.0,-3510000000.0,-10209000000.0,-1776000000.0,2071000000.0,13818000000.0,-72000000.0,10678000000.0,10678000000.0,10678000000.0,0.0,0.0,0.323,9963000000.0,12686000000.0,8574000000.0,0.329,10.009,25.832,25.938,46299000000.0,0.0,139.03,8.177,8.176,19087000000.0,27240000000.0,33055000000.0,33055000000.0,4565000000.0,,,,,1262000000.0,5398000000.0,1,7635409400.0,7634000000,7710000000.0,4.33,229334000000.0,0.0,2008000000.0,32131000000.0,30.041,107778000000.0
11,61498f68b26daf86a7100476,MSFT,TA,2019-09-30,2019-09-30,2020-04-29,2019-09-30,-61000000.0,278955000000.0,271912750000.0,165896000000.0,113059000000.0,0.477,13.893,-13708000000.0,136636000000.0,136636000000.0,43411000000.0,41094000000.0,2.854,1.63,76154000000.0,3017000000.0,73137000000.0,76154000000.0,34026000000.0,11816000000.0,0.0,0.013,1.84,46153000000.0,57969000000.0,0.447,57969000000.0,46153000000.0,46153000000.0,5.36,5.3,5.36,106061000000.0,98845750000.0,106061000000.0,1006097968880.0,22.0,17.356,38638000000.0,5.061,1,86403000000.0,0.666,49621000000.0,0.0,110734000000.0,109805750000.0,2622000000.0,2684000000.0,0.0,2684000000.0,172894000000.0,58118000000.0,114776000000.0,1061550968880.0,-2020000000.0,-2605000000.0,-19502000000.0,-6500000000.0,-14101000000.0,-39712000000.0,-14596000000.0,1717000000.0,52346000000.0,-58000000.0,41094000000.0,41094000000.0,41094000000.0,0.0,0.0,0.317,40713000000.0,45690000000.0,8574000000.0,0.343,10.009,25.832,25.938,46299000000.0,0.0,139.03,8.177,8.176,19087000000.0,27240000000.0,129814000000.0,129814000000.0,17464000000.0,0.151,0.416,0.42,0.356,4807000000.0,23249000000.0,1,7635409400.0,7634000000,7710000000.0,17.005,229334000000.0,0.0,5059000000.0,32131000000.0,30.041,107778000000.0
