time,sym,side,quantity,price
2021-08-10 13:31:31,ATVI,BUY,114.0,83.12
2021-08-10 13:31:33,AMD,BUY,71.0,107.22
2021-08-10 13:31:35,GOOG,BUY,2.0,2767.15
2021-08-10 13:31:37,MSFT,BUY,18.0,285.53
2021-08-10 13:33:22,ATVI,SELL,114.0,83.17
2021-08-10 13:34:16,AMD,SELL,71.0,107.4
2021-08-10 13:34:16,MSFT,SELL,18.0,285.71
2021-08-10 13:35:12,ATVI,BUY,101.0,83.11
2021-08-10 13:36:54,AMZN,BUY,2.0,3318.77
2021-08-10 13:38:34,GOOG,SELL,2.0,2764.69
2021-08-10 13:43:49,ATVI,SELL,101.0,83.22
2021-08-10 13:45:33,MSFT,BUY,28.0,285.83
2021-08-10 13:48:16,ATVI,BUY,80.0,83.15
2021-08-10 13:49:10,AMD,BUY,50.0,107.14
2021-08-10 13:50:52,AMZN,SELL,2.0,3320.41
2021-08-10 13:53:34,MSFT,SELL,28.0,285.81
2021-08-10 13:54:28,ATVI,SELL,80.0,83.21
2021-08-10 13:58:47,AMD,SELL,50.0,106.98
2021-08-10 14:00:33,GOOG,BUY,3.0,2767.99
2021-08-10 14:00:35,MSFT,BUY,27.0,285.85
2021-08-10 14:03:15,ATVI,BUY,77.0,83.35
2021-08-10 14:04:55,GOOG,SELL,3.0,2763.31
2021-08-10 14:04:55,MSFT,SELL,27.0,285.57
2021-08-10 14:08:28,AMD,BUY,77.0,107.14
2021-08-10 14:10:56,ATVI,SELL,77.0,83.28
2021-08-10 14:10:56,AMD,SELL,77.0,106.78
2021-08-10 14:17:53,AMD,BUY,88.0,106.96
2021-08-10 14:21:24,AMD,SELL,88.0,106.82
2021-08-10 14:24:50,GOOG,BUY,3.0,2764.58
2021-08-10 14:30:00,GOOG,SELL,3.0,2763.78
2021-08-10 14:32:32,ATVI,BUY,114.0,83.06
2021-08-10 14:42:01,ATVI,SELL,114.0,82.98
2021-08-10 14:56:39,ATVI,BUY,114.0,83.05
2021-08-10 15:02:42,ATVI,SELL,114.0,82.88
2021-08-10 15:19:09,ATVI,BUY,114.0,83.0
2021-08-10 15:20:51,AMD,BUY,71.0,107.27
2021-08-10 15:20:54,GOOG,BUY,2.0,2760.26
2021-08-10 15:22:33,MSFT,BUY,18.0,285.97
2021-08-10 15:23:32,AMZN,BUY,1.0,3321.32
2021-08-10 15:26:52,AMD,SELL,71.0,107.29
2021-08-10 15:28:34,ATVI,SELL,114.0,82.78
2021-08-10 15:29:28,GOOG,SELL,2.0,2760.28
2021-08-10 15:31:10,AMZN,SELL,1.0,3321.01
2021-08-10 15:31:10,MSFT,SELL,18.0,285.93
2021-08-10 15:32:07,AMD,BUY,88.0,107.15
2021-08-10 15:33:49,ATVI,BUY,92.0,82.76
2021-08-10 15:35:33,AMZN,BUY,1.0,3322.53
2021-08-10 15:35:35,MSFT,BUY,19.0,286.07
2021-08-10 15:39:08,GOOG,BUY,1.0,2760.65
2021-08-10 15:39:54,ATVI,SELL,92.0,82.91
2021-08-10 15:41:37,MSFT,SELL,19.0,286.01
2021-08-10 15:42:31,AMZN,SELL,1.0,3319.0
2021-08-10 15:43:25,GOOG,SELL,1.0,2759.15
2021-08-10 15:44:13,AMD,SELL,88.0,106.89
2021-08-10 15:46:53,AMZN,BUY,2.0,3321.4
2021-08-10 15:48:33,MSFT,BUY,28.0,285.88
2021-08-10 15:50:16,AMZN,SELL,2.0,3319.16
2021-08-10 15:51:14,AMZN,BUY,2.0,3318.83
2021-08-10 15:52:52,MSFT,SELL,28.0,285.87
2021-08-10 15:53:46,AMZN,SELL,2.0,3317.49
2021-08-11 10:33:29,AMD,BUY,87.0,108.1
2021-08-11 10:39:38,AMZN,BUY,2.0,3305.0
2021-08-11 10:39:40,MSFT,BUY,22.0,286.79
2021-08-11 10:43:37,AMD,SELL,87.0,107.93
2021-08-11 10:46:14,MSFT,SELL,22.0,286.8
2021-08-11 10:51:29,AMZN,SELL,2.0,3303.43
2021-08-11 10:54:10,AMD,BUY,88.0,107.46
2021-08-11 11:00:41,AMD,SELL,88.0,106.78
2021-08-11 11:00:43,AMZN,BUY,2.0,3303.39
2021-08-11 11:10:04,ATVI,BUY,98.0,83.93
2021-08-11 11:12:50,AMZN,SELL,2.0,3294.35
2021-08-11 11:19:24,ATVI,SELL,98.0,83.99
2021-08-11 11:24:43,AMZN,BUY,2.0,3294.66
